State,zeroresults,fourresults,eightresults,twelveresults,sixteenresults,twentyresults,Polls,EV,Abbr,Polls2020,Polls2016,Polls2012
National,0.5,-2.4,7.2,3.9,2.1,4.5,1.7,0,Nat,8.4,3.9,0.7
Alabama,-14.91,-25.62,-21.58,-22.19,-27.72,-25.46,,9,AL,-18.8,-24,-24
Alaska,-30.95,-25.55,-21.53,-13.99,-14.73,-10.06,,3,AK,-7.7,-5,
Arizona,-6.29,-10.47,-8.52,-9.06,-3.5,0.3,-1.3,11,AZ,2.6,-2,-7.5
Arkansas,-5.45,-9.76,-19.86,-23.69,-26.92,-27.62,,6,AR,-22.8,-19.5,-24
California,11.8,9.95,24.06,23.12,30.11,29.16,24,54,CA,29.2,23,16.1
Colorado,-8.36,-4.67,8.95,5.36,4.91,13.5,,10,CO,12.5,4.1,2.5
Connecticut,17.47,10.36,22.37,17.33,13.64,20.07,,7,CT,26.3,12.6,13.75
Delaware,13.06,7.6,24.99,18.63,11.37,18.97,,3,DE,24.3,12.5,
District of Columbia,76.21,79.84,85.93,83.63,86.77,86.75,,3,DC,85,70.5,80
Florida,-0.01,-5.01,2.81,0.88,-1.2,-3.36,-7,30,FL,2.5,0.6,0
Georgia,-11.69,-16.6,-5.21,-7.82,-5.13,0.23,-1,16,GA,1.2,-4,-7.5
Hawaii,18.33,8.75,45.27,42.71,32.19,29.46,13.5,4,HI,34.3,23.8,27
Idaho,-39.53,-38.12,-25.43,-31.69,-31.77,-30.77,,4,ID,-18.1,-19.6,-36
Illinois,12.02,10.34,25.14,16.87,17.07,16.99,,19,IL,16,12.9,17.5
Indiana,-15.64,-20.68,1.04,-10.2,-18.91,-16.07,,11,IN,-10.8,-11.6,-10.83
Iowa,0.32,-0.67,9.54,5.81,-9.41,-8.2,,6,IA,-1.3,-2.9,3.2
Kansas,-20.8,-25.38,-14.96,-21.61,-20.6,-14.63,,6,KS,-12.9,-12.5,
Kentucky,-15.13,-19.86,-16.23,-22.69,-29.84,-25.94,,8,KY,-15.7,-18.2,-14
Louisiana,-7.67,-14.5,-18.63,-17.2,-19.64,-18.61,,8,LA,-20.6,-16.1,-23
Maine,5.12,8.99,17.33,15.29,2.96,9.07,8.5,2,ME,13,7.5,11.25
