District,Inc2024,Party2024,P2012,P2016,P2020,Candidate2022,e2022Results,P2020old,Redistricted
AK-AL,Peltola,D,-14,-14.7,-10.1,Peltola,10,-10.1,
AL1,Carl,R,-48,-53.2,-50.3,Carl,,-28.22,Y
AL2,OPEN,,13,10.5,12.4,,,-29.37,Y
AL3,Rogers,R,-34.4,-41.7,-40.9,Rogers,-46.1,-34.03,Y
AL4,Aderholt,R,-52.4,-62,-62,Alderholt,-70.5,-61.67,Y
AL5,Strong,R,-29.6,-32.8,-27,Strong,-37.6,-26.99,Y
AL6,Palmer,R,-50.4,-45.5,-38,Palmer,,-29.86,Y
AL7,Sewell,D,29.6,26,29,Sewell,28.7,32.05,Y
AR1,Crawford,R,-25.6,-34.3,-40.9,Crawford,-47.6,-40.9,
AR2,Hill,R,-16.8,-15,-13.1,Hill,-24.7,-13.1,
AR3,Womack,R,-33,-28.6,-23.4,Womack,-30.8,-23.4,
AR4,Westerman,R,-24.6,-30.4,-35.2,Westerman,-44.8,-35.2,
AZ1,Schweikert,R,-17.4,-4.2,1.5,Schweikert,-0.8,1.5,
AZ2,Crane,R,-9.2,-10.1,-7.9,Crane,-7.7,-7.9,
AZ3,OPEN,,47.8,49.9,50.6,,54,50.6,
AZ4,Stanton,D,-7.4,2.4,10.3,Stanton,12.2,10.3,
AZ5,Biggs,R,-28.4,-21.3,-16.4,,-19.3,-16.4,
AZ6,Ciscomani,R,-11,-5.2,0.1,Ciscomani,-1.5,0.1,
AZ7,Grijalva,D,26.6,33.6,32.8,Grijalva,29.1,32.8,
AZ8,OPEN,,-23.6,-18.9,-13.5,,,-13.5,
AZ9,Gosar,R,-28.4,-29.1,-25.8,Gosar,,-25.8,
CA1,LaMalfa,R,-18.4,-23.44,-19.47,LaMalfa,-24.2,-19.47,
CA2,Huffman,D,43.74,49.24,50.71,Huffman,48.8,50.71,
CA3,Kiley,R,-14,-8.46,-1.83,Kiley,-7.2,-1.83,
CA4,Thompson,D,32.53,36.9,37.48,Thompson,35.6,37.48,
CA5,McClintock,R,-16.83,-16.23,-12.61,McClintock,-22.6,-12.61,
CA6,Bera,D,13.41,18.12,18.93,Bera,11.8,18.93,
CA7,Matsui,D,33.21,41.08,38.04,Matsui,36.6,38.04,
CA8,Garamendi,D,55.33,59.03,55.15,Garamendi,51.4,55.15,
CA9,Harder,D,12.65,13.81,12.89,Harder,9.6,12.89,
CA10,DeSaulnier,D,24.24,38.55,40.21,DeSaulnier,,40.21,
CA11,Pelosi,D,73.15,81.29,76.06,Pelosi,68,76.06,
CA12,OPEN,,82.17,86.22,82.42,,81,82.42,
CA13,Duarte,R,10.94,13.17,11.09,Duarte,-0.4,11.09,
CA14,Swalwell,D,42.66,50.1,46.44,Swalwell,38.6,46.44,
CA15,Mullin,D,52.48,62.45,58.45,Mullin,,58.45,
CA16,OPEN,,42.38,58.31,54.21,,,54.21,
CA17,Khanna,D,47.72,57.09,48.38,Khanna,41.8,48.38,
CA18,Lofgren,D,47.31,51.82,45.02,Lofgren,31.8,45.02,
CA19,Panetta,D,34.81,42.13,40.52,Panetta,37.4,40.52,
CA20,OPEN,,-33.62,-32.59,-25.46,,-34.3,-25.46,
CA21,Costa,D,18.68,22.98,20.7,Costa,8.4,20.7,
CA22,Valadao,R,11.17,16.82,13.21,Valadao,-3,13.21,
CA23,Odernolte,R,-15.2,-15.76,-10.07,Odernolte,-22,-10.07,
CA24,Carbajal,D,16.91,27.02,29.76,Carbajal,21.2,29.76,
CA25,Ruiz,D,11.52,18.28,15.61,Ruiz,14.8,15.61,
CA26,Brownley,D,5.21,18.35,20.4,Brownley,9,20.4,
CA27,Garcia,R,1.33,10.35,12.64,Garcia,-6.4,12.64,
