StateFull,State,Class,Incumbent,e2006,e2008,e2010,e2012,e2014,e2016,e2018,e2020,Polls2018,e2018r,Polls2020,e2020r,Polls2022,e2022r,Polls2024,Election,IncParty
Alabama,AL,3,None,,,,,,,,,,,,,-30,-35.7,,2022,
Alaska,AK,3,Murkowski,,,-16,,,,,,,,,,-25,-33,,2022,R
Arizona,AZ,3,Kelly,,,,,,,,2.4,,,,,1.5,4.9,,2022,D
Arkansas,AR,3,Boozman,,,-21.1,,,-23.4,,,,,,,-24.5,-34.8,,2022,R
California,CA,3,None,,,,,,,,,,,,,23.5,22.2,,2022,
Colorado,CO,3,Bennet,,,1.8,,,5.7,,,,,,,8.4,14.6,,2022,D
Connecticut,CT,3,Blumenthal,,,11.8,,,28.6,,,,,,,13.6,15,,2022,D
Florida,FL,3,Rubio,,,-19.2,,,-7.7,,,,,,,-8.8,-15,,2022,R
Georgia,GA,3,Warnock,,,,,,,,2,,,,,3.4,2.8,,2022,D
Hawaii,HI,3,Schatz,,,,,42.1,51.4,,,,,,,,45.2,,2022,D
Idaho,ID,3,Crapo,,,-46.1,,,-38.3,,,,,,,,-32,,2022,R
Illinois,IL,3,Duckworth,,,,,,15.1,,,,,,,15.3,15,,2022,D
Indiana,IN,3,Young,,,,,,-9.7,,,,,,,-11,-20.7,,2022,R
Iowa,IA,3,Grassley,,,-31.3,,,-24.4,,,,,,,-9.6,-12.2,,2022,R
Kansas,KS,3,Moran,,,-44.1,,,-29.9,,,,,,,-22,-23,,2022,R
Kentucky,KY,3,Paul,,,-11.6,,,-14.6,,,,,,,-16,-23.6,,2022,R
Louisiana,LA,3,Kennedy,,,,,,-21.3,,,,,,,-36,-30.5,,2022,R
Maryland,MD,3,Hollen,,,,,,21.55,,,,,,,23,31.6,,2022,D
Missouri,MO,3,None,,,,,,,,,,,,,-11.2,-13.2,,2022,
Nevada,NV,3,Masto,,,,,,2.4,,,,,,,-1.4,0.8,,2022,D
New Hampshire,NH,3,Hassan,,,,,,0.1,,,,,,,2.2,9.2,,2022,D
New York,NY,3,Schumer,,,34.1,,,43,,,,,,,17.7,14,,2022,D
North Carolina,NC,3,None,,,,,,,,,,,,,-4.3,-3.2,,2022,
North Dakota,ND,3,Hoeven,,,-54,,,-61.4,,,,,,,,-31.4,,2022,R
Ohio,OH,3,None,,,,,,,,,,,,,-6.2,-6.1,,2022,
Oklahoma,OK,3,Lankford,,,,,-38.9,-43.2,,,,,,,-21.9,-32.2,,2022,R
Oklahoma-Special,OK-S,2,None,,,,,,,,,,,,,-12.67,-26.6,,2022,
Oregon,OR,3,Wyden,,,17.8,,,22.75,,,,,,,14.9,14.9,,2022,D
Pennsylvania,PA,3,None,,,,,,,,,,,,,-0.5,4.9,,2022,
South Carolina,SC,3,Scott,,,,,-24,-23.5,,,,,,,-17,-25.9,,2022,R
South Dakota,SD,3,Thune,,,,,,-43.6,,,,,,,-28,-43.4,,2022,R
Utah,UT,3,Lee,,,-28.8,,,-41,,,,,,,-9.8,-10.3,,2022,R
Vermont,VT,3,None,,,,,,,,,,,,,32.5,40.4,,2022,
Washington,WA,3,Murray,,,4.7,,,17.97,,,,,,,4.7,14.6,,2022,D
Wisconsin,WI,3,Johnson,,,-4.9,,,-3.35,,,,,,,-3.3,-1,,2022,R
Arizona,AZ,1,None,,,,,,,,,,,,,,,7.5,2024,
California,CA,1,None,,,,,,,,,,,,,,,28,2024,
Nebraska Special,NE-S,2,None,,,,,,,,,,,,,,,,2024,
Connecticut,CT,1,Murphy,,,,11.7,,,20.1,,,,,,,,,2024,D
Delaware,DE,1,None,,,,,,,,,,,,,,,,2024,
Florida,FL,1,Scott,,,,,,,-0.2,,,,,,,,-6,2024,R
Hawaii,HI,1,Hirono,,,,25.2,,,42.4,,,,,,,,,2024,D
Indiana,IN,1,None,,,,,,,,,,,,,,,-10,2024,
Maine,ME,1,King,,,,22.2,,,19.1,,,,,,,,29,2024,D
Maryland,MD,1,None,,,,,,,,,,,,,,,9.67,2024,
Massachusetts,MA,1,Warren,,,,7.4,,,24.2,,,,,,,,25,2024,D
Michigan,MI,1,None,,,,,,,,,,,,,,,5.13,2024,
Minnesota,MN,1,Klobuchar,20.2,,,34.6,,,24.1,,,,,,,,15.33,2024,D
Mississippi,MS,1,Wicker,,-10,,-16.6,,,-19,,,,,,,,,2024,R
Missouri,MO,1,Hawley,,,,,,,-5.8,,,,,,,,-11.5,2024,R
Montana,MT,1,Tester,0.9,,,3.7,,,3.5,,,,,,,,-4,2024,D
Nebraska,NE,1,Fischer,,,,-15.6,,,-19.1,,,,,,,,-13,2024,R
Nevada,NV,1,Rosen,,,,,,,5,,,,,,,,10.5,2024,D
New Jersey,NJ,1,None,,,,,,,,,,,,,,,8,2024,
New Mexico,NM,1,Heinrich,,,,5.7,,,23.6,,,,,,,,6,2024,D
New York,NY,1,Gillibrand,,,,44.6,,,34,,,,,,,,24.5,2024,D
North Dakota,ND,1,Cramer,,,,,,,-11,,,,,,,,-37,2024,R
Ohio,OH,1,Brown,12.4,,,6,,,6.8,,,,,,,,5,2024,D
Pennsylvania,PA,1,Casey,17.4,,,9.1,,,13.1,,,,,,,,10,2024,D
Rhode Island,RI,1,Whitehouse,7,,,29.9,,,23.2,,,,,,,,,2024,D
Tennessee,TN,1,Blackburn,,,,,,,-10.8,,,,,,,,-20,2024,R
Texas,TX,1,Cruz,,,,-15.8,,,-2.6,,,,,,,,-5.5,2024,R
Utah,UT,1,None,,,,,,,,,,,,,,,,2024,
Vermont,VT,1,Sanders,33.1,,,46.1,,,39.9,,,,,,,,,2024,D
Virginia,VA,1,Kaine,,,,5.9,,,16,,,,,,,,12.33,2024,D
Washington,WA,1,Cantwell,16.9,,,20.9,,,16.8,,,,,,,,21,2024,D
West Virginia,WV,1,None,,,,,,,,,,,,,,,-33,2024,
Wisconsin,WI,1,Baldwin,,,,5.5,,,10.8,,,,,,,,7.42,2024,D
Wyoming,WY,1,Barrasso,,-46.9,,-54,,,-37,,,,,,,,,2024,R
Georgia - Special,GA-S,3,None,,,,,,,,,,,1.5,2,,,,2020,
Arizona,AZ,3,None,,,,,,,,,,,5.93,2.4,,,,2020,
Alabama,AL,2,Jones,,,,,,,1.63,,,,-12.17,-20.4,,,,2020,D
Alaska,AK,2,Sullivan,,,,,-2.2,,,,,,-5.5,-12.7,,,,2020,R
Arkansas,AR,2,Cotton,,,,,-17.1,,,,,,-45,-33,,,,2020,R
Colorado,CO,2,Gardner,,,,,-1.9,,,,,,10.43,9.3,,,,2020,D
Delaware,DE,2,Coons,,,,,13.6,,,,,,30,21.5,,,,2020,D
Georgia,GA,2,Perdue,,,,,-7.7,,,,,,1.89,1.2,,,,2020,R
Idaho,ID,2,Risch,,-23.6,,,-30.6,,,,,,-26,-29.3,,,,2020,R
Illinois,IL,2,Durbin,,39.3,,,10.8,,,,,,23.5,16,,,,2020,D
Iowa,IA,2,Ernst,,,,,-8.3,,,,,,-0.43,-6.6,,,,2020,R
Kansas,KS,2,None,,,,,,,,,,,-5.33,-11.4,,,,2020,
Kentucky,KY,2,McConnell,,-6,,,-15.4,,,,,,-8.25,-19.6,,,,2020,R
Louisiana,LA,2,Cassidy,,,,,-11.8,,,,,,-22,-29.2,,,,2020,R
Maine,ME,2,Collins,,-22.7,,,-37,,,,,,3.86,-8.6,,,,2020,R
Massachusetts,MA,2,Markey,,,,,24,,,,,,35,33.2,,,,2020,D
Michigan,MI,2,Peters,,,,,13.3,,,,,,8.8,1.7,,,,2020,D
Minnesota,MN,2,Smith,,,,,,,10.6,,,,10.25,5.3,,,,2020,D
Mississippi,MS,2,Hyde-Smith,,,,,,,-7.2,,,,-5.5,-10,,,,2020,R
Montana,MT,2,Daines,,,,,-17.7,,,,,,-2.13,-10,,,,2020,R
Nebraska,NE,2,Sasse,,,,,-32.9,,,,,,-30,-32,,,,2020,R
New Hampshire,NH,2,Shaheen,,6.5,,,3.3,,,,,,15,15.7,,,,2020,D
New Jersey,NJ,2,Booker,,,,,13.5,,,,,,24.8,16.3,,,,2020,D
New Mexico,NM,2,None,,,,,,,,,,,9,6.1,,,,2020,
North Carolina,NC,2,Tillis,,,,,-1.5,,,,,,3.2,-1.8,,,,2020,R
Oklahoma,OK,2,Inhofe,,-17.5,,,-39.4,,,,,,-20,-30.1,,,,2020,R
Oregon,OR,2,Merekley,,3.3,,,18.8,,,,,,20,17,,,,2020,D
Rhode Island,RI,2,Reede,,46.8,,,41.4,,,,,,,33.2,,,,2020,D
South Carolina,SC,2,Graham,,-15.2,,,-15.5,,,,,,-3,-10.3,,,,2020,R
South Dakota,SD,2,Rounds,,,,,-20.9,,,,,,-17,-31.4,,,,2020,R
Tennessee,TN,2,None,,,,,,,,,,,-21,-27,,,,2020,
Texas,TX,2,Cornyn,,-12,,,-27.2,,,,,,-6.22,-9.6,,,,2020,R
Virginia,VA,2,Warner,,31.3,,,0.8,,,,,,17.88,12.1,,,,2020,D
West Virginia,WV,2,Capito,,,,,-27.6,,,,,,-20,-43.3,,,,2020,R
Wyoming,WY,2,None,,,,,,,,,,,-30,-46.2,,,,2020,
Arizona,AZ,1,None,,,,,,,,,1.8,2.4,,,,,,2018,
Connecticut,CT,1,Murphy,,,,11.7,,,,,18,20.1,,,,,,2018,D
Delaware,DE,1,Carper,39.7,,,25,,,,,37.5,22.2,,,,,,2018,D
Florida,FL,1,Nelson,22.2,,,13,,,,,2.1,-0.2,,,,,,2018,D
Hawaii,HI,1,Hirono,,,,25.2,,,,,,42.4,,,,,,2018,D
Indiana,IN,1,Donnelly,,,,5.8,,,,,1.15,-5.9,,,,,,2018,D
Maine,ME,1,King,,,,22.2,,,,,20.83,19.1,,,,,,2018,D
Maryland,MD,1,Cardin,10,,,32.7,,,,,28,34.6,,,,,,2018,D
Massachusetts,MA,1,Warren,,,,7.4,,,,,25.5,24.2,,,,,,2018,D
Michigan,MI,1,Stabenow,15.6,,,20.8,,,,,9.42,6.5,,,,,,2018,D
Minnesota,MN,1,Klobuchar,20.2,,,34.6,,,,,21.4,24.1,,,,,,2018,D
Mississippi,MS,1,Wicker,,-10,,-16.6,,,,,-19.33,-19,,,,,,2018,R
Missouri,MO,1,McCaskill,2.3,,,15.8,,,,,0.07,-5.8,,,,,,2018,D
Montana,MT,1,Tester,0.9,,,3.7,,,,,4.86,3.5,,,,,,2018,D
Nebraska,NE,1,Fischer,,,,-15.6,,,,,-15,-19.1,,,,,,2018,R
Nevada,NV,1,Heller,,,,-1.2,,,,,1.58,5,,,,,,2018,R
New Jersey,NJ,1,Menendez,9.1,,,19.5,,,,,8.8,11.2,,,,,,2018,D
New Mexico,NM,1,Heinrich,,,,5.7,,,,,15.4,23.6,,,,,,2018,D
New York,NY,1,Gillibrand,,,,44.6,,,,,24.6,34,,,,,,2018,D
North Dakota,ND,1,Heitkamp,,,,0.92,,,,,-10.5,-11,,,,,,2018,D
Ohio,OH,1,Brown,12.4,,,6,,,,,12.43,6.8,,,,,,2018,D
Pennsylvania,PA,1,Casey,17.4,,,9.1,,,,,14.5,13.1,,,,,,2018,D
Rhode Island,RI,1,Whitehouse,7,,,29.9,,,,,21.5,23.2,,,,,,2018,D
Tennessee,TN,1,None,,,,,,,,,-4.47,-10.8,,,,,,2018,
Texas,TX,1,Cruz,,,,-15.8,,,,,-4.5,-2.6,,,,,,2018,R
Utah,UT,1,None,,,,,,,,,-36,-31.7,,,,,,2018,
Vermont,VT,1,Sanders,33.1,,,46.1,,,,,38.5,39.9,,,,,,2018,D
Virginia,VA,1,Kaine,,,,5.9,,,,,16,16,,,,,,2018,D
Washington,WA,1,Cantwell,16.9,,,20.9,,,,,14,16.8,,,,,,2018,D
West Virginia,WV,1,Manchin,,,10.07,24.1,,,,,8.25,3.3,,,,,,2018,D
